"ID","COND","moreTalk"
"1","High",-0.931438586122017
"2","High",-2
"3","High",-0.502728953326923
"4","High",-0.492734657871638
"5","High",-0.00277114316270177
"6","High",-2.56953826421802
"7","High",-0.581812628522699
"8","High",0.0131653977813888
"9","High",-0.807467536157709
"10","High",0.754266478535449
"11","High",-1.80480641701548
"12","High",-1.06827091388797
"13","High",-0.654384186564816
"14","High",0.552773026095649
"15","High",0.640067795770068
"16","High",-2.49574280826789
"17","High",0.657212287615377
"18","High",-0.700435993960059
"19","High",0.527821448271149
"20","High",0.557119641569259
"21","High",-1.67762337919132
"22","High",-0.988973359456759
"23","High",-1.822023421188
"24","High",0.279384880414811
"25","High",-2.29869407467535
"26","High",-0.724105716039409
"27","High",-2.14445344585682
"28","High",-1.14215468425428
"29","High",-0.905267036778278
"30","High",0.181608451111366
"31","Low",-1.68612457193898
"32","Low",-1.34564329483459
"33","Low",0.282832657427469
"34","Low",-1.32813527192104
"35","Low",-0.788991197340586
"36","Low",-1.43509277333288
"37","Low",-1.23871535072392
"38","Low",-1.3500920224238
"39","Low",-0.447466938119966
"40","Low",-0.0568739473864717
"41","Low",-0.313183452651681
"42","Low",0.771741063124224
"43","Low",-0.617776865598367
"44","Low",1.00920010389399
"45","Low",-0.412689144108252
"46","Low",-0.912821673919889
"47","Low",0.58384004049888
"48","Low",-0.868867757714259
"49","Low",-0.183829832279796
"50","Low",0.0666963122658094
"51","Low",-0.72019192622189
"52","Low",-1.87887377218974
"53","Low",-0.361130724141192
"54","Low",-0.633419937243636
"55","Low",-1.02374678713713
"56","Low",-0.321514236595907
"57","Low",-0.107989171013639
"58","Low",-0.502517816046269
"59","Low",-1.41243259672665
"60","Low",-1.38369596266955
"61","Control",-0.0286090901534138
"62","Control",-0.171608662519799
"63","Control",0.238272612019385
"64","Control",-0.577264754698416
"65","Control",0.124306501620267
"66","Control",-0.738365521227007
"67","Control",0.361207381812618
"68","Control",1.10789384385612
"69","Control",-0.218894539455289
"70","Control",-0.789673813090536
"71","Control",-0.287244547894063
"72","Control",-0.0705228815430197
"73","Control",-1.03226330850184
"74","Control",1.01805359420857
"75","Control",-0.777964855607216
"76","Control",-0.2082309830411
"77","Control",-0.749390429675277
"78","Control",-1.02870523872531
"79","Control",0.65722372784666
"80","Control",0.216268064003071
"81","Control",-0.279631543206605
"82","Control",-0.496805192261926
"83","Control",-1.57848854659617
"84","Control",0.409635186443121
"85","Control",-0.142889045450352
"86","Control",-0.920419242816297
"87","Control",0.33911111928874
"88","Control",-1.16766800555664
"89","Control",-0.743584818319747
"90","Control",0.303115191248403
