"PhysID","Verbal_BL","Verbal_WH","NVerb_BL","NVerb_WH"
1,8.19034230319465,4.62567958658308,3.09911013417716,2.74205479185916
2,3.29748593608588,12.8513618733974,4.23383977503708,5.02404684720577
3,6.17638551349858,13.4668804125203,0.428856599584306,1.33725940986547
4,4.85142644467271,6.4887624049429,1.83473928277632,2.37943116656235
5,6.91115508805921,12.2666460694236,3.70359103963008,2.91444481867404
6,11.9658312331927,6.25929162562471,1.53696961067667,1.59849332414973
7,5.43096332445733,7.49634171957912,2.29274428266679,2.66939232125561
8,9.20096851454406,4.52918250325273,2.99144974641633,3.13770079307938
9,12.6450503765896,8.06669591867285,1.78837272807613,2.50952907727122
10,9.29491038105715,4.32341218325342,2.6166631338967,3.29436778370527
11,7.2888806469633,13.3766969990656,2.63132723257984,3.09585629855339
12,10.149464204848,8.009916594773,3.48326945991588,3.95703337050493
13,10.7296659164278,13.4412774591748,2.42236101278891,2.5186270880214
14,7.57866028292684,6.99750692244664,3.49430657064303,3.01971123628466
15,11.2193872332872,11.139243795202,4.19311761299879,3.81072020348307
16,9.03574812818876,10.3443245599687,2.6098810195171,2.67508338239351
17,10.2345286262211,8.09884912160447,4.07716175480904,4.51963116580341
18,9.20465567843166,1.59040497722386,3.68719223230736,3.11118074553318
19,10.6177949687679,11.0918132038457,2.6008057174496,3.1367625129003
20,8.64995494107981,5.64532098522017,1.18088699793603,1.62904641149237
21,1.93942658291245,5.15668209281911,3.36462995740757,2.94128234695053
22,6.99982666992004,12.3421198872355,3.2571169731331,3.07299471213386
23,12.0680481185517,10.8951629575305,1.99100787092018,2.3521887581822
24,6.15228168142719,4.78628586995834,1.35156860764486,1.55708437341111
25,6.73749417386878,11.0758329369052,3.77985785345561,3.76636710000949
26,5.47040160583629,10.137986703409,2.37881060544052,2.63945534656889
27,11.9155084349782,9.31207226305286,3.62448851791174,3.72773170692528
28,8.03918092310944,7.43011436307507,1.67609169734137,1.95040540969559
29,13.3387894416986,10.2443509572732,2.89299726405944,3.37363785851418
30,13.3337761294821,8.74478977631771,1.11981691213134,1.75831512405206
31,9.0929249957708,9.14130919829878,3.47790431825581,3.72770952791781
32,9.48965871329066,8.57327622117297,4.01339548864921,3.22077582581524
33,9.77971848003924,6.39802323384211,2.40670525491676,2.25427842197606
